item_code,HV,SS,OS,MS,weight,description
6.1.01.4.1.06.0,3.53229041370271,0.0,,,0.028579988568,earthenware
6.1.01.4.1.07.0,3.4534722592465035,0.0,,,0.0014299994280002285,glassware
6.1.01.5.1.01.X,1.567345933946851,0.0,,,0.18173992730402,electric bulb; tubelight
6.1.01.5.1.02.0,3.2789062227840104,0.0,,,0.003909998436000625,plugs; switches and other electrical fittings
6.1.01.5.1.03.0,3.118016715556828,0.0,,,0.010629995748,electric batteries
6.1.01.5.1.04.0,2.8268295944974513,0.0,,,0.045619981752,torch
6.1.01.5.1.05.0,3.242741843654037,0.018034061105356658,,,0.0013999994400002238,lock
6.1.01.6.1.01.X,2.5689952219460586,0.0,,,0.06601997359201,bucket; water bottle/feeding bottle and other plastic goods
6.1.01.6.1.02.0,3.263219031899385,0.0,,,0.0037999984800006084,coir; rope; etc.
6.1.01.6.1.03.0,3.003689968910154,0.0,,,0.86657965336813,washing soap/soda/powder
6.1.01.6.1.04.0,1.4734604444096489,0.0,,,0.11648995340401,other washing requisites
6.1.01.6.1.05.X,1.8140790074177664,0.0,,,0.20369991852002997,incense [agarbatti]; room freshener
6.1.01.6.1.06.0,4.111786469567238,0.06080344838070639,,,0.09093996362401,flower [fresh]: all purposes
6.1.01.6.1.07.0,1.2254237442597582,0.0,,,0.12290995083601002,mosquito repellent; insecticide; acid etc.
